booking_id,day_of_week,is_weekend,is_rack,ADR,net_revenue,net_ADR,lead_bin
RES-00001,Monday,FALSE,TRUE,0,0,0,8-14 days
RES-00002,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00003,Tuesday,FALSE,FALSE,208,682.24,170.56,0-7 days
RES-00004,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00005,Tuesday,FALSE,FALSE,0,0,0,0-7 days
RES-00006,Tuesday,FALSE,TRUE,0,0,0,8-14 days
RES-00007,Wednesday,FALSE,TRUE,0,0,0,8-14 days
RES-00008,Wednesday,FALSE,FALSE,0,0,0,0-7 days
RES-00009,Wednesday,FALSE,TRUE,68,136,68,8-14 days
RES-00010,Thursday,FALSE,TRUE,240,240,240,8-14 days
RES-00011,Thursday,FALSE,TRUE,0,0,0,15-30 days
RES-00012,Thursday,FALSE,FALSE,0,0,0,15-30 days
RES-00013,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00014,Friday,TRUE,TRUE,0,0,0,31+ days
RES-00015,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00016,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00017,Friday,TRUE,FALSE,126.88,728.29,104.04,15-30 days
RES-00018,Friday,TRUE,TRUE,0,0,0,0-7 days
RES-00019,Friday,TRUE,FALSE,528.87,1057.74,528.87,8-14 days
RES-00020,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00021,Friday,TRUE,TRUE,317.2,1560.62,260.1,8-14 days
RES-00022,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00023,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00024,Friday,TRUE,TRUE,0,0,0,8-14 days
RES-00025,Friday,TRUE,TRUE,146.4,729.07,121.51,8-14 days
RES-00027,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00028,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00029,Sunday,FALSE,TRUE,0,0,0,0-7 days
RES-00030,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00031,Sunday,FALSE,TRUE,165.92,136.05,136.05,15-30 days
RES-00032,Sunday,FALSE,FALSE,191.52,191.52,191.52,0-7 days
RES-00033,Sunday,FALSE,TRUE,146.4,386.5,128.83,0-7 days
RES-00034,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00035,Sunday,FALSE,TRUE,0,0,0,15-30 days
RES-00036,Sunday,FALSE,FALSE,176.29,289.12,144.56,15-30 days
RES-00037,Sunday,FALSE,TRUE,0,0,0,15-30 days
RES-00038,Sunday,FALSE,FALSE,0,0,0,8-14 days
RES-00039,Monday,FALSE,FALSE,175.56,948.02,158,0-7 days
RES-00040,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00041,Wednesday,FALSE,TRUE,0,0,0,8-14 days
RES-00042,Wednesday,FALSE,TRUE,260,863.2,215.8,8-14 days
RES-00043,Wednesday,FALSE,FALSE,0,0,0,31+ days
RES-00044,Thursday,FALSE,FALSE,108,108,108,8-14 days
RES-00045,Thursday,FALSE,FALSE,0,0,0,0-7 days
RES-00046,Thursday,FALSE,TRUE,210,840,210,0-7 days
RES-00047,Thursday,FALSE,FALSE,104,183.04,91.52,15-30 days
RES-00048,Thursday,FALSE,TRUE,420,420,420,0-7 days
RES-00049,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00050,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00051,Friday,TRUE,FALSE,168.54,168.54,168.54,0-7 days
RES-00052,Friday,TRUE,TRUE,112.32,101.09,101.09,15-30 days
RES-00053,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00054,Friday,TRUE,TRUE,256.2,1024.8,256.2,31+ days
RES-00055,Saturday,TRUE,TRUE,146.4,243.02,121.51,15-30 days
RES-00056,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00057,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00058,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00059,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00060,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00061,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00062,Sunday,FALSE,FALSE,285.48,1638.66,234.09,15-30 days
RES-00063,Sunday,FALSE,TRUE,0,0,0,31+ days
RES-00064,Sunday,FALSE,FALSE,165.92,688.57,137.71,0-7 days
RES-00065,Sunday,FALSE,FALSE,165.92,136.05,136.05,15-30 days
RES-00066,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00067,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00068,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00069,Monday,FALSE,TRUE,0,0,0,8-14 days
RES-00070,Monday,FALSE,TRUE,240,196.8,196.8,8-14 days
RES-00071,Monday,FALSE,FALSE,0,0,0,0-7 days
RES-00072,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00073,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00074,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00075,Wednesday,FALSE,FALSE,105.6,346.37,86.59,0-7 days
RES-00076,Thursday,FALSE,FALSE,117,679.77,97.11,31+ days
RES-00077,Thursday,FALSE,TRUE,0,0,0,8-14 days
RES-00078,Thursday,FALSE,TRUE,312.8,1282.48,256.5,8-14 days
RES-00079,Thursday,FALSE,TRUE,130,260,130,8-14 days
RES-00080,Thursday,FALSE,TRUE,0,0,0,0-7 days
RES-00081,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00082,Friday,TRUE,TRUE,0,0,0,15-30 days
RES-00083,Friday,TRUE,FALSE,129.29,349.07,116.36,0-7 days
RES-00084,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00085,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00086,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00087,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00088,Saturday,TRUE,FALSE,155.04,155.04,155.04,0-7 days
RES-00089,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00090,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00091,Saturday,TRUE,TRUE,0,0,0,8-14 days
RES-00092,Saturday,TRUE,FALSE,373.32,373.32,373.32,8-14 days
RES-00093,Saturday,TRUE,TRUE,146.4,292.8,146.4,0-7 days
RES-00094,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00095,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00096,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00097,Sunday,FALSE,TRUE,0,0,0,0-7 days
RES-00098,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00099,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00100,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00101,Monday,FALSE,FALSE,96,480,96,8-14 days
RES-00102,Monday,FALSE,FALSE,0,0,0,15-30 days
RES-00103,Monday,FALSE,FALSE,0,0,0,0-7 days
RES-00104,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00105,Monday,FALSE,FALSE,221,663,221,8-14 days
RES-00106,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00107,Tuesday,FALSE,TRUE,0,0,0,0-7 days
RES-00108,Tuesday,FALSE,TRUE,0,0,0,8-14 days
RES-00109,Tuesday,FALSE,FALSE,71.4,117.1,58.55,0-7 days
RES-00110,Tuesday,FALSE,FALSE,0,0,0,0-7 days
RES-00111,Wednesday,FALSE,FALSE,0,0,0,15-30 days
RES-00112,Wednesday,FALSE,FALSE,0,0,0,0-7 days
RES-00113,Thursday,FALSE,TRUE,0,0,0,31+ days
RES-00114,Thursday,FALSE,TRUE,0,0,0,8-14 days
RES-00115,Thursday,FALSE,TRUE,0,0,0,0-7 days
RES-00116,Friday,TRUE,TRUE,0,0,0,31+ days
RES-00117,Friday,TRUE,TRUE,0,0,0,15-30 days
RES-00118,Friday,TRUE,FALSE,373.32,1493.28,373.32,15-30 days
RES-00119,Saturday,TRUE,TRUE,0,0,0,15-30 days
RES-00120,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00121,Saturday,TRUE,FALSE,142.74,142.74,142.74,15-30 days
RES-00122,Saturday,TRUE,FALSE,285.48,947.79,236.95,15-30 days
RES-00123,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00124,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00125,Sunday,FALSE,FALSE,126.88,312.12,104.04,0-7 days
